full_name,first_name,last_name,email,phone,brokerage,city,state,metro_area,license_number,license_state,years_experience,transactions_12mo,sales_volume,cream_fit_score,priority,priority_tier,rating,source,scraped_at
Ronald Ramos,Ronald,Ramos,rramos@weichert.com,(585) 768-6695,Compass,San Francisco,CA,San Francisco,CA937119,CA,8,20,15000000,95,A,A,3.1,realtor_scraper,2026-05-02T07:06:13+00:00
Andrew Williams,Andrew,Williams,andrew.williams@remax.com,(314) 322-2359,ERA Real Estate,Nashville,TN,Nashville,TN101837,TN,4,40,12800000,98,A,A,4.6,realtor_scraper,2026-05-02T07:06:13+00:00
Benjamin Cox,Benjamin,Cox,benjamin_cox@realtor.com,(719) 492-9353,Berkshire Hathaway HomeServices,Jackson,MS,Jackson,MS871060,MS,1,10,1800000,70,C,C,3.7,realtor_scraper,2026-05-02T07:06:13+00:00
Gregory Nelson,Gregory,Nelson,gregory_nelson@coldwellbanker.com,(901) 267-6523,Realty ONE Group,Louisville,KY,Louisville,KY692448,KY,12,10,2250000,72,B,B,3.6,realtor_scraper,2026-05-02T07:06:13+00:00
Barbara Rodriguez,Barbara,Rodriguez,barbararodriguez6@century21.com,(415) 672-1657,Berkshire Hathaway HomeServices,Nashville,TN,Nashville,TN509588,TN,5,35,11200000,76,A,A,4.5,realtor_scraper,2026-05-02T07:06:13+00:00
Jennifer Morgan,Jennifer,Morgan,jennifer.morgan@century21.com,(515) 918-9508,Local Brokerage,Albuquerque,NM,Albuquerque,NM377617,NM,8,12,3300000,85,C,C,3.7,realtor_scraper,2026-05-02T07:06:13+00:00
Charles Rivera,Charles,Rivera,charles.rivera@realtor.com,(412) 348-5334,Berkshire Hathaway HomeServices,Cleveland,OH,Cleveland,OH493118,OH,3,12,3000000,80,B,B,3.2,realtor_scraper,2026-05-02T07:06:13+00:00
Eric Harris,Eric,Harris,ericharris55@gmail.com,(205) 863-5699,United Real Estate,Charleston,SC,Charleston,SC712269,SC,2,6,1740000,83,C,C,4.8,realtor_scraper,2026-05-02T07:06:13+00:00
Donna Martin,Donna,Martin,donna.martin@coldwellbanker.com,(702) 786-2808,Redfin,Santa Fe,NM,Santa Fe,NM758216,NM,4,12,3300000,81,C,C,3.5,realtor_scraper,2026-05-02T07:06:13+00:00
Richard Robinson,Richard,Robinson,rrobinson@exp.com,(617) 663-4399,Windermere Real Estate,Austin,TX,Austin,TX226203,TX,10,12,4200000,85,A,A,4.8,realtor_scraper,2026-05-02T07:06:13+00:00
Frank Stewart,Frank,Stewart,frankstewart@remax.com,(407) 441-8041,Compass,Los Angeles,CA,Los Angeles,CA374894,CA,5,25,18750000,97,A,A,3.4,realtor_scraper,2026-05-02T07:06:13+00:00
Michael Thompson,Michael,Thompson,michael_thompson@aol.com,(916) 308-1198,RE/MAX,New York,NY,New York,NY933710,NY,7,35,29750000,82,A,A,3.0,realtor_scraper,2026-05-02T07:06:13+00:00
Nancy Robinson,Nancy,Robinson,nancyrobinson@hotmail.com,(305) 729-2885,Weichert Realtors,Kansas City,MO,Kansas City,MO992317,MO,3,10,2600000,70,B,B,4.0,realtor_scraper,2026-05-02T07:06:13+00:00
Charles Morales,Charles,Morales,charles.morales@compass.com,(206) 618-8024,Realty ONE Group,Milwaukee,WI,Milwaukee,WI754632,WI,2,10,2750000,72,B,B,3.9,realtor_scraper,2026-05-02T07:06:13+00:00
Brandon Turner,Brandon,Turner,brandonturner@coldwellbanker.com,(502) 739-6652,Redfin,Albuquerque,NM,Albuquerque,NM510448,NM,3,20,5500000,66,C,C,4.0,realtor_scraper,2026-05-02T07:06:13+00:00
Pamela Diaz,Pamela,Diaz,pdiaz@sothebysrealty.com,(951) 233-7493,United Real Estate,Washington,DC,Washington,DC798442,DC,8,12,8400000,69,A,A,4.8,realtor_scraper,2026-05-02T07:06:13+00:00
Emily Miller,Emily,Miller,emily.miller@compass.com,(901) 692-2902,eXp Realty,Fresno,CA,Fresno,CA980712,CA,4,18,13500000,68,B,B,4.0,realtor_scraper,2026-05-02T07:06:13+00:00
Daniel Rogers,Daniel,Rogers,daniel_rogers@compass.com,(410) 335-6692,HomeSmart,Detroit,MI,Detroit,MI332635,MI,2,8,2200000,78,B,B,3.1,realtor_scraper,2026-05-02T07:06:13+00:00
Deborah Ruiz,Deborah,Ruiz,deborahruiz69@century21.com,(614) 709-2922,Keller Williams,Rochester,NY,Rochester,NY195767,NY,2,12,10200000,75,B,B,4.8,realtor_scraper,2026-05-02T07:06:13+00:00
Katherine Hill,Katherine,Hill,katherine.hill@coldwellbanker.com,(303) 398-4053,United Real Estate,New Orleans,LA,New Orleans,LA740319,LA,4,12,2760000,85,B,B,3.2,realtor_scraper,2026-05-02T07:06:13+00:00
Ronald Rogers,Ronald,Rogers,ronaldrogers@kw.com,(405) 465-6969,Berkshire Hathaway HomeServices,Los Angeles,CA,Los Angeles,CA512422,CA,10,16,12000000,84,A,A,5.0,realtor_scraper,2026-05-02T07:06:13+00:00
James Garcia,James,Garcia,james_garcia@yahoo.com,(408) 685-9891,HomeSmart,Boise,ID,Boise,ID965327,ID,2,15,7125000,81,C,C,3.9,realtor_scraper,2026-05-02T07:06:13+00:00
George Wood,George,Wood,george.wood@exp.com,(602) 334-5319,CBRE,Louisville,KY,Louisville,KY618289,KY,8,8,1800000,90,B,B,3.7,realtor_scraper,2026-05-02T07:06:13+00:00
Charles Clark,Charles,Clark,charles.clark@exp.com,(405) 592-8991,Corcoran Global Living,Minneapolis,MN,Minneapolis,MN537693,MN,7,12,4200000,90,A,A,4.8,realtor_scraper,2026-05-02T07:06:13+00:00
Timothy Wright,Timothy,Wright,timothy.wright@yahoo.com,(804) 356-5501,Windermere Real Estate,Santa Fe,NM,Santa Fe,NM506807,NM,5,3,825000,78,C,C,3.9,realtor_scraper,2026-05-02T07:06:13+00:00
Barbara Kelly,Barbara,Kelly,barbara.kelly@weichert.com,(615) 470-4290,Corcoran Global Living,Savannah,GA,Savannah,GA602096,GA,3,3,975000,71,C,C,4.9,realtor_scraper,2026-05-02T07:06:13+00:00
Jonathan Gray,Jonathan,Gray,jonathan.gray@compass.com,(702) 957-4544,ERA Real Estate,Austin,TX,Austin,TX184867,TX,7,25,8750000,85,A,A,3.4,realtor_scraper,2026-05-02T07:06:13+00:00
Eric Bennett,Eric,Bennett,ebennett@sothebysrealty.com,(901) 258-1419,HomeSmart,Memphis,TN,Memphis,TN596279,TN,5,8,2560000,61,B,B,4.1,realtor_scraper,2026-05-02T07:06:13+00:00
Helen Anderson,Helen,Anderson,helen.anderson@exp.com,(617) 613-4216,Corcoran Global Living,Sacramento,CA,Sacramento,CA333097,CA,10,22,16500000,96,B,B,3.0,realtor_scraper,2026-05-02T07:06:13+00:00
Donald Campbell,Donald,Campbell,dcampbell@weichert.com,(615) 702-1873,Local Brokerage,Charlotte,NC,Charlotte,NC486215,NC,2,10,3100000,66,B,B,3.1,realtor_scraper,2026-05-02T07:06:13+00:00
Elizabeth Young,Elizabeth,Young,eyoung@hotmail.com,(617) 784-3781,ERA Real Estate,Richmond,VA,Richmond,VA136803,VA,4,28,10500000,75,B,B,3.9,realtor_scraper,2026-05-02T07:06:13+00:00
Kevin Ruiz,Kevin,Ruiz,kevin.ruiz@sothebysrealty.com,(313) 754-5488,Windermere Real Estate,Albuquerque,NM,Albuquerque,NM353566,NM,1,3,825000,62,C,C,4.1,realtor_scraper,2026-05-02T07:06:13+00:00
Emma Nelson,Emma,Nelson,enelson@gmail.com,(215) 711-3969,Corcoran Global Living,Las Vegas,NV,Las Vegas,NV756809,NV,3,22,9350000,78,B,B,5.0,realtor_scraper,2026-05-02T07:06:13+00:00
Jessica Wilson,Jessica,Wilson,jessica.wilson@coldwellbanker.com,(515) 979-4625,Century 21,Cleveland,OH,Cleveland,OH803277,OH,2,15,3750000,74,B,B,3.3,realtor_scraper,2026-05-02T07:06:13+00:00
John Thomas,John,Thomas,johnthomas@aol.com,(801) 456-5436,United Real Estate,Fresno,CA,Fresno,CA770041,CA,7,28,21000000,77,B,B,4.4,realtor_scraper,2026-05-02T07:06:13+00:00
Ryan Ward,Ryan,Ward,ryanward67@sothebysrealty.com,(602) 797-4110,Weichert Realtors,Denver,CO,Denver,CO240356,CO,6,16,8800000,85,A,A,3.7,realtor_scraper,2026-05-02T07:06:13+00:00
Helen Brooks,Helen,Brooks,helen.brooks@gmail.com,(305) 934-2509,HomeSmart,Omaha,NE,Omaha,NE271359,NE,5,10,2300000,67,B,B,3.3,realtor_scraper,2026-05-02T07:06:13+00:00
Gregory Ramirez,Gregory,Ramirez,gramirez@kw.com,(901) 672-6708,ERA Real Estate,Asheville,NC,Asheville,NC298222,NC,4,6,1860000,67,C,C,4.7,realtor_scraper,2026-05-02T07:06:13+00:00
Helen Kelly,Helen,Kelly,hkelly@kw.com,(816) 217-2210,Weichert Realtors,Philadelphia,PA,Philadelphia,PA687427,PA,5,60,17400000,97,A,A,4.9,realtor_scraper,2026-05-02T07:06:13+00:00
Barbara Allen,Barbara,Allen,barbaraallen@compass.com,(317) 803-9755,Local Brokerage,Madison,WI,Madison,WI297367,WI,3,6,1650000,85,C,C,4.2,realtor_scraper,2026-05-02T07:06:13+00:00
Karen Young,Karen,Young,karenyoung19@aol.com,(505) 444-6894,Better Homes and Gardens Real Estate,Washington,DC,Washington,DC315293,DC,15,20,14000000,78,A,A,3.0,realtor_scraper,2026-05-02T07:06:13+00:00
Sandra Diaz,Sandra,Diaz,sandradiaz@yahoo.com,(501) 967-9866,Corcoran Global Living,Houston,TX,Houston,TX332489,TX,7,50,17500000,94,A,A,4.1,realtor_scraper,2026-05-02T07:06:13+00:00
Anna Cox,Anna,Cox,acox@homesmart.com,(407) 423-3463,HomeSmart,Denver,CO,Denver,CO392728,CO,7,30,16500000,95,A,A,4.2,realtor_scraper,2026-05-02T07:06:13+00:00
Shirley Taylor,Shirley,Taylor,shirleytaylor18@kw.com,(602) 504-2983,Century 21,Atlanta,GA,Atlanta,GA352816,GA,4,35,11375000,87,A,A,4.2,realtor_scraper,2026-05-02T07:06:13+00:00
Sandra Watson,Sandra,Watson,sandrawatson87@aol.com,(410) 932-4584,Windermere Real Estate,San Diego,CA,San Diego,CA720258,CA,7,12,9000000,72,A,A,4.1,realtor_scraper,2026-05-02T07:06:13+00:00
Gregory Young,Gregory,Young,gregoryyoung@yahoo.com,(816) 354-3316,ERA Real Estate,Tallahassee,FL,Tallahassee,FL171860,FL,4,6,2400000,70,C,C,4.0,realtor_scraper,2026-05-02T07:06:13+00:00
Jason Bennett,Jason,Bennett,jason.bennett@hotmail.com,(702) 602-6802,ERA Real Estate,Houston,TX,Houston,TX199348,TX,6,40,14000000,91,A,A,3.3,realtor_scraper,2026-05-02T07:06:13+00:00
Kimberly Gonzalez,Kimberly,Gonzalez,kimberly.gonzalez@realtor.com,(608) 568-3333,eXp Realty,Oklahoma City,OK,Oklahoma City,OK886498,OK,5,4,840000,64,B,B,4.3,realtor_scraper,2026-05-02T07:06:13+00:00
John Gonzalez,John,Gonzalez,john.gonzalez@homesmart.com,(423) 744-6008,Compass,Philadelphia,PA,Philadelphia,PA832809,PA,5,16,4640000,89,A,A,4.2,realtor_scraper,2026-05-02T07:06:13+00:00
Daniel Gray,Daniel,Gray,danielgray80@outlook.com,(612) 311-2566,Compass,Phoenix,AZ,Phoenix,AZ417799,AZ,6,35,15750000,98,A,A,3.0,realtor_scraper,2026-05-02T07:06:13+00:00
Matthew Young,Matthew,Young,matthew_young@coldwellbanker.com,(504) 864-8813,Redfin,Rochester,NY,Rochester,NY752255,NY,10,10,8500000,71,B,B,3.7,realtor_scraper,2026-05-02T07:06:13+00:00
Barbara Ramirez,Barbara,Ramirez,barbara_ramirez@outlook.com,(415) 560-4625,Compass,Washington,DC,Washington,DC390059,DC,5,35,24500000,74,A,A,3.1,realtor_scraper,2026-05-02T07:06:13+00:00
Nicholas Phillips,Nicholas,Phillips,nicholas_phillips@exp.com,(305) 458-6953,Realty ONE Group,Knoxville,TN,Knoxville,TN508857,TN,6,20,6400000,88,C,C,3.0,realtor_scraper,2026-05-02T07:06:13+00:00
Nancy Lopez,Nancy,Lopez,nancy_lopez@exp.com,(503) 844-2566,Coldwell Banker,Philadelphia,PA,Philadelphia,PA865850,PA,6,35,10150000,82,A,A,3.7,realtor_scraper,2026-05-02T07:06:13+00:00
Carol Lee,Carol,Lee,carollee@coldwellbanker.com,(719) 400-5415,Corcoran Global Living,Detroit,MI,Detroit,MI582863,MI,5,15,4125000,75,B,B,4.5,realtor_scraper,2026-05-02T07:06:13+00:00
Gregory Watson,Gregory,Watson,gregory_watson@weichert.com,(404) 753-3717,eXp Realty,Los Angeles,CA,Los Angeles,CA239027,CA,5,20,15000000,78,A,A,4.0,realtor_scraper,2026-05-02T07:06:13+00:00
Jennifer Morris,Jennifer,Morris,jennifermorris6@sothebysrealty.com,(314) 880-9258,Keller Williams,Chicago,IL,Chicago,IL281961,IL,10,40,12000000,81,A,A,4.8,realtor_scraper,2026-05-02T07:06:13+00:00
Larry Martinez,Larry,Martinez,larrymartinez91@remax.com,(602) 973-3343,Sotheby's International Realty,Little Rock,AR,Little Rock,AR172897,AR,2,8,1560000,78,C,C,4.0,realtor_scraper,2026-05-02T07:06:13+00:00
Barbara Carter,Barbara,Carter,barbaracarter43@remax.com,(303) 397-7707,CBRE,New York,NY,New York,NY101798,NY,5,40,34000000,87,A,A,3.6,realtor_scraper,2026-05-02T07:06:13+00:00
Barbara Howard,Barbara,Howard,barbara_howard@exp.com,(864) 685-4620,United Real Estate,Memphis,TN,Memphis,TN610991,TN,3,4,1280000,71,B,B,4.5,realtor_scraper,2026-05-02T07:06:13+00:00
James Watson,James,Watson,jameswatson@hotmail.com,(405) 285-1760,Century 21,Savannah,GA,Savannah,GA350995,GA,7,10,3250000,83,C,C,4.9,realtor_scraper,2026-05-02T07:06:13+00:00
Ronald Green,Ronald,Green,ronaldgreen62@coldwellbanker.com,(312) 408-6480,eXp Realty,San Francisco,CA,San Francisco,CA986980,CA,8,20,15000000,94,A,A,3.3,realtor_scraper,2026-05-02T07:06:13+00:00
Emily Miller,Emily,Miller,emily.miller@outlook.com,(951) 944-3280,Coldwell Banker,St. Louis,MO,St. Louis,MO524230,MO,7,12,3120000,88,B,B,3.2,realtor_scraper,2026-05-02T07:06:13+00:00
Anna Ruiz,Anna,Ruiz,aruiz@outlook.com,(716) 540-1955,CBRE,New York,NY,New York,NY576313,NY,6,12,10200000,93,A,A,4.8,realtor_scraper,2026-05-02T07:06:13+00:00
Emily Walker,Emily,Walker,ewalker@exp.com,(206) 480-5279,Sotheby's International Realty,Portland,OR,Portland,OR767722,OR,7,16,8000000,82,A,A,4.1,realtor_scraper,2026-05-02T07:06:13+00:00
Steven Kim,Steven,Kim,steven_kim@hotmail.com,(215) 672-6996,CBRE,San Francisco,CA,San Francisco,CA972791,CA,12,16,12000000,74,A,A,3.5,realtor_scraper,2026-05-02T07:06:13+00:00
Richard Allen,Richard,Allen,richardallen36@century21.com,(801) 641-9355,Compass,Chicago,IL,Chicago,IL618171,IL,5,40,12000000,77,A,A,4.4,realtor_scraper,2026-05-02T07:06:13+00:00
Carol Hernandez,Carol,Hernandez,carolhernandez@realtor.com,(408) 875-6255,Century 21,Shreveport,LA,Shreveport,LA357200,LA,1,10,2300000,63,C,C,5.0,realtor_scraper,2026-05-02T07:06:13+00:00
Jason Young,Jason,Young,jason.young@aol.com,(213) 253-8074,United Real Estate,Atlanta,GA,Atlanta,GA446240,GA,8,16,5200000,97,A,A,4.8,realtor_scraper,2026-05-02T07:06:13+00:00
Laura Adams,Laura,Adams,laura.adams@remax.com,(614) 819-6142,Corcoran Global Living,Savannah,GA,Savannah,GA222847,GA,3,10,3250000,74,C,C,4.7,realtor_scraper,2026-05-02T07:06:13+00:00
Gregory Lewis,Gregory,Lewis,gregory.lewis@outlook.com,(515) 346-8716,Keller Williams,Albuquerque,NM,Albuquerque,NM197304,NM,1,8,2200000,80,C,C,3.1,realtor_scraper,2026-05-02T07:06:13+00:00
Joseph Cruz,Joseph,Cruz,joseph.cruz@realtor.com,(202) 856-5479,Coldwell Banker,St. Louis,MO,St. Louis,MO886553,MO,7,22,5720000,86,B,B,4.2,realtor_scraper,2026-05-02T07:06:13+00:00
Nicole Wood,Nicole,Wood,nicole_wood@yahoo.com,(407) 315-7770,Coldwell Banker,Reno,NV,Reno,NV332860,NV,5,3,1275000,61,C,C,3.6,realtor_scraper,2026-05-02T07:06:13+00:00
Helen Wright,Helen,Wright,helenwright@realtor.com,(801) 437-6680,Berkshire Hathaway HomeServices,Raleigh,NC,Raleigh,NC144312,NC,6,35,10850000,87,B,B,4.3,realtor_scraper,2026-05-02T07:06:13+00:00
Andrew Kim,Andrew,Kim,akim@sothebysrealty.com,(423) 512-6357,Zillow Premier Agent,Colorado Springs,CO,Colorado Springs,CO281349,CO,3,20,11000000,85,C,C,4.1,realtor_scraper,2026-05-02T07:06:13+00:00
Paul Ruiz,Paul,Ruiz,pruiz@remax.com,(719) 767-8390,ERA Real Estate,Spokane,WA,Spokane,WA539909,WA,3,3,1800000,74,C,C,3.6,realtor_scraper,2026-05-02T07:06:13+00:00
Nancy Williams,Nancy,Williams,nancywilliams@remax.com,(617) 592-2268,Weichert Realtors,Cincinnati,OH,Cincinnati,OH383399,OH,4,12,3000000,78,B,B,3.1,realtor_scraper,2026-05-02T07:06:13+00:00
Ryan Clark,Ryan,Clark,ryan_clark@coldwellbanker.com,(423) 281-8689,Redfin,Little Rock,AR,Little Rock,AR195430,AR,6,12,2340000,84,C,C,3.4,realtor_scraper,2026-05-02T07:06:13+00:00
Amy James,Amy,James,amy_james@yahoo.com,(813) 809-8433,United Real Estate,Seattle,WA,Seattle,WA536168,WA,6,25,15000000,83,A,A,4.9,realtor_scraper,2026-05-02T07:06:13+00:00
Angela Gutierrez,Angela,Gutierrez,angelagutierrez13@hotmail.com,(813) 340-6879,RE/MAX,San Antonio,TX,San Antonio,TX348246,TX,4,45,15750000,82,B,B,4.0,realtor_scraper,2026-05-02T07:06:13+00:00
John King,John,King,jking@kw.com,(559) 956-6264,Keller Williams,Orlando,FL,Orlando,FL293520,FL,3,8,3200000,74,B,B,3.9,realtor_scraper,2026-05-02T07:06:13+00:00
Paul Peterson,Paul,Peterson,paul.peterson@weichert.com,(615) 676-4196,Local Brokerage,Sacramento,CA,Sacramento,CA465981,CA,4,4,3000000,62,B,B,4.2,realtor_scraper,2026-05-02T07:06:13+00:00
Samuel Turner,Samuel,Turner,samuelturner@realtor.com,(559) 523-6624,Zillow Premier Agent,Philadelphia,PA,Philadelphia,PA867313,PA,5,35,10150000,82,A,A,4.1,realtor_scraper,2026-05-02T07:06:13+00:00
Melissa Martinez,Melissa,Martinez,melissa.martinez@kw.com,(505) 722-6379,Compass,Nashville,TN,Nashville,TN170652,TN,4,20,6400000,69,A,A,3.0,realtor_scraper,2026-05-02T07:06:13+00:00
David Chavez,David,Chavez,davidchavez10@weichert.com,(716) 422-3125,Century 21,Oklahoma City,OK,Oklahoma City,OK897801,OK,4,10,2100000,64,B,B,3.5,realtor_scraper,2026-05-02T07:06:13+00:00
Edward Flores,Edward,Flores,edward.flores@sothebysrealty.com,(408) 484-9949,Better Homes and Gardens Real Estate,San Jose,CA,San Jose,CA691388,CA,5,40,30000000,93,A,A,3.2,realtor_scraper,2026-05-02T07:06:13+00:00
Kimberly Evans,Kimberly,Evans,kimberly.evans@kw.com,(313) 819-9755,United Real Estate,Tucson,AZ,Tucson,AZ491700,AZ,1,4,1800000,79,B,B,3.9,realtor_scraper,2026-05-02T07:06:13+00:00
Justin Cook,Justin,Cook,justin_cook@remax.com,(617) 994-2068,Berkshire Hathaway HomeServices,Rochester,NY,Rochester,NY128147,NY,1,8,6800000,71,B,B,4.3,realtor_scraper,2026-05-02T07:06:13+00:00
Brian Flores,Brian,Flores,brian.flores@exp.com,(615) 458-9118,eXp Realty,San Diego,CA,San Diego,CA923270,CA,5,16,12000000,85,A,A,3.9,realtor_scraper,2026-05-02T07:06:13+00:00
Donna White,Donna,White,donna.white@realtor.com,(407) 628-1874,Zillow Premier Agent,Buffalo,NY,Buffalo,NY478608,NY,7,8,6800000,88,B,B,3.1,realtor_scraper,2026-05-02T07:06:13+00:00
Scott Evans,Scott,Evans,scottevans48@aol.com,(414) 728-1331,Zillow Premier Agent,Memphis,TN,Memphis,TN173945,TN,1,12,3840000,70,B,B,3.1,realtor_scraper,2026-05-02T07:06:13+00:00
Samantha King,Samantha,King,samanthaking@kw.com,(215) 271-8441,Berkshire Hathaway HomeServices,Nashville,TN,Nashville,TN887333,TN,5,20,6400000,83,A,A,3.6,realtor_scraper,2026-05-02T07:06:13+00:00
Deborah Gonzalez,Deborah,Gonzalez,deborahgonzalez66@outlook.com,(313) 838-7053,Windermere Real Estate,Las Vegas,NV,Las Vegas,NV822044,NV,4,10,4250000,67,B,B,4.0,realtor_scraper,2026-05-02T07:06:13+00:00
Margaret Ruiz,Margaret,Ruiz,mruiz@gmail.com,(502) 572-6697,RE/MAX,Riverside,CA,Riverside,CA290328,CA,8,18,13500000,88,B,B,3.9,realtor_scraper,2026-05-02T07:06:13+00:00
Christopher Martinez,Christopher,Martinez,christophermartinez90@sothebysrealty.com,(916) 418-1027,Windermere Real Estate,Memphis,TN,Memphis,TN664563,TN,8,10,3200000,73,B,B,3.8,realtor_scraper,2026-05-02T07:06:13+00:00
Barbara Howard,Barbara,Howard,barbarahoward@compass.com,(816) 860-2398,Zillow Premier Agent,Houston,TX,Houston,TX472240,TX,6,16,5600000,88,A,A,5.0,realtor_scraper,2026-05-02T07:06:13+00:00
Sandra Baker,Sandra,Baker,sandrabaker26@homesmart.com,(210) 417-3112,RE/MAX,Milwaukee,WI,Milwaukee,WI938405,WI,6,12,3300000,84,B,B,3.9,realtor_scraper,2026-05-02T07:06:13+00:00
George Moore,George,Moore,georgemoore@exp.com,(602) 280-6639,CBRE,Austin,TX,Austin,TX277298,TX,7,25,8750000,100,A,A,4.4,realtor_scraper,2026-05-02T07:06:13+00:00
Emily Smith,Emily,Smith,emilysmith@weichert.com,(212) 955-5511,Corcoran Global Living,Riverside,CA,Riverside,CA481910,CA,4,18,13500000,81,B,B,4.1,realtor_scraper,2026-05-02T07:06:13+00:00
Donna White,Donna,White,dwhite@remax.com,(313) 568-3498,United Real Estate,Portland,OR,Portland,OR901341,OR,5,20,10000000,76,A,A,4.4,realtor_scraper,2026-05-02T07:06:13+00:00
Sarah Parker,Sarah,Parker,sarahparker@realtor.com,(919) 997-2769,Zillow Premier Agent,San Diego,CA,San Diego,CA101108,CA,4,12,9000000,87,A,A,4.5,realtor_scraper,2026-05-02T07:06:13+00:00
Jason Nelson,Jason,Nelson,jason_nelson@outlook.com,(423) 597-9124,ERA Real Estate,Dallas,TX,Dallas,TX599850,TX,2,60,21000000,95,A,A,4.3,realtor_scraper,2026-05-02T07:06:13+00:00
Matthew Nelson,Matthew,Nelson,matthewnelson@remax.com,(512) 609-9413,United Real Estate,Charlotte,NC,Charlotte,NC389322,NC,5,15,4650000,82,B,B,4.9,realtor_scraper,2026-05-02T07:06:13+00:00
Dorothy Bennett,Dorothy,Bennett,dorothy.bennett@compass.com,(813) 894-4764,Sotheby's International Realty,Seattle,WA,Seattle,WA415047,WA,12,30,18000000,95,A,A,4.6,realtor_scraper,2026-05-02T07:06:13+00:00
Carol Walker,Carol,Walker,carol.walker@exp.com,(713) 492-1539,Compass,Houston,TX,Houston,TX496934,TX,6,30,10500000,94,A,A,4.5,realtor_scraper,2026-05-02T07:06:13+00:00
Rachel Rivera,Rachel,Rivera,rrivera@kw.com,(713) 530-9113,CBRE,Greenville,SC,Greenville,SC144818,SC,2,12,3480000,68,C,C,4.5,realtor_scraper,2026-05-02T07:06:13+00:00
Frank Jackson,Frank,Jackson,frankjackson@aol.com,(408) 720-7958,Compass,Albuquerque,NM,Albuquerque,NM885834,NM,3,28,7700000,78,C,C,3.3,realtor_scraper,2026-05-02T07:06:13+00:00
Jonathan Gomez,Jonathan,Gomez,jonathan.gomez@compass.com,(559) 563-8631,Sotheby's International Realty,Washington,DC,Washington,DC156655,DC,15,35,24500000,100,A,A,4.1,realtor_scraper,2026-05-02T07:06:13+00:00
Nicole Thomas,Nicole,Thomas,nthomas@weichert.com,(713) 843-5948,Corcoran Global Living,Montgomery,AL,Montgomery,AL425070,AL,4,20,4400000,77,C,C,5.0,realtor_scraper,2026-05-02T07:06:13+00:00
Kathleen Stewart,Kathleen,Stewart,kathleenstewart5@weichert.com,(503) 909-4872,eXp Realty,St. Louis,MO,St. Louis,MO455617,MO,12,28,7280000,76,B,B,3.9,realtor_scraper,2026-05-02T07:06:13+00:00
Emily Evans,Emily,Evans,emilyevans93@homesmart.com,(801) 534-4632,Weichert Realtors,New Orleans,LA,New Orleans,LA514380,LA,3,22,5060000,83,B,B,3.8,realtor_scraper,2026-05-02T07:06:13+00:00
Pamela Walker,Pamela,Walker,pamelawalker12@realtor.com,(804) 814-9682,Century 21,Seattle,WA,Seattle,WA569827,WA,2,40,24000000,98,A,A,3.0,realtor_scraper,2026-05-02T07:06:13+00:00
Anna Gonzalez,Anna,Gonzalez,agonzalez@aol.com,(501) 227-8095,Century 21,Tucson,AZ,Tucson,AZ741479,AZ,7,12,5400000,71,B,B,3.1,realtor_scraper,2026-05-02T07:06:13+00:00
Paul Edwards,Paul,Edwards,paul_edwards@coldwellbanker.com,(317) 351-5013,Coldwell Banker,Reno,NV,Reno,NV632496,NV,2,10,4250000,65,C,C,4.9,realtor_scraper,2026-05-02T07:06:13+00:00
Eric Flores,Eric,Flores,eric_flores@homesmart.com,(212) 427-6555,Zillow Premier Agent,Houston,TX,Houston,TX375361,TX,10,12,4200000,88,A,A,4.5,realtor_scraper,2026-05-02T07:06:13+00:00
Jason Green,Jason,Green,jgreen@sothebysrealty.com,(213) 643-8093,Zillow Premier Agent,Boston,MA,Boston,MA246659,MA,5,8,5200000,84,A,A,3.9,realtor_scraper,2026-05-02T07:06:13+00:00
Ryan Wood,Ryan,Wood,ryanwood@weichert.com,(402) 638-5709,RE/MAX,Dallas,TX,Dallas,TX977330,TX,2,20,7000000,92,A,A,3.5,realtor_scraper,2026-05-02T07:06:13+00:00
Brian Hill,Brian,Hill,brian.hill@exp.com,(404) 278-1326,Weichert Realtors,Charlotte,NC,Charlotte,NC955490,NC,7,22,6820000,100,B,B,3.9,realtor_scraper,2026-05-02T07:06:13+00:00
Deborah Gutierrez,Deborah,Gutierrez,deborahgutierrez@outlook.com,(608) 491-3705,Century 21,Charlotte,NC,Charlotte,NC839788,NC,10,10,3100000,82,B,B,3.5,realtor_scraper,2026-05-02T07:06:13+00:00
Larry Thomas,Larry,Thomas,larry.thomas@yahoo.com,(512) 499-9162,Redfin,Colorado Springs,CO,Colorado Springs,CO543612,CO,5,8,4400000,77,C,C,4.3,realtor_scraper,2026-05-02T07:06:13+00:00
Christopher Rivera,Christopher,Rivera,christopher_rivera@exp.com,(502) 853-8198,Sotheby's International Realty,Shreveport,LA,Shreveport,LA256484,LA,5,8,1840000,69,C,C,4.1,realtor_scraper,2026-05-02T07:06:13+00:00
Andrew Mitchell,Andrew,Mitchell,andrew.mitchell@gmail.com,(206) 808-1382,United Real Estate,Columbus,OH,Columbus,OH307009,OH,2,15,3750000,70,B,B,4.5,realtor_scraper,2026-05-02T07:06:13+00:00
Margaret Morgan,Margaret,Morgan,margaretmorgan96@weichert.com,(559) 578-7674,United Real Estate,Seattle,WA,Seattle,WA218258,WA,6,25,15000000,78,A,A,3.5,realtor_scraper,2026-05-02T07:06:13+00:00
