name,email,phone,brokerage,metro_area,state,license_number,years_experience,transaction_volume,cream_fit_score,priority_tier,date_added
Cynthia Scott,cynthia.scott5@hotmail.com,(469) 415-6751,Allie Beth Allman,"Fort Worth, TX",TX,TREC7146030,17,79,100,A,2026-04-05
Larry Patel,larryp@hotmail.com,(347) 296-2279,Corcoran,"Amarillo, NY",NY,104918816603,18,28,93,B,2026-04-05
Gary Gomez,gary78@elliman.com,(872) 859-5232,Sotheby's International,"El Paso, IL",IL,4752011242,20,56,90,B,2026-04-05
Samuel Williams,samuel_williams@nicholasrealty.com,(805) 811-7892,Nicholas Realty,"Santa Rosa, CA",CA,BRE3606308,8,12,73,C,2026-04-05
Rachel Sanchez,rachel.sanchez5@kellerwilliams.com,(215) 305-2192,Keller Williams,"State College, PA",PA,RS319286,8,23,77,C,2026-04-05
Rebecca Robinson,rrobinson@longfoster.com,(717) 895-2573,Long & Foster,"Harrisburg, PA",PA,RS398488,15,46,100,B,2026-04-05
Jason Howard,howardj@expworldholdings.com,(336) 812-6733,Douglas Elliman,"Concord, NC",NC,NC8097701,23,46,94,C,2026-04-05
Emma Wilson,emma.wilson6@remax.net,(352) 995-7947,Compass,"Jacksonville, FL",FL,BK7209528,6,24,77,A,2026-04-05
Janet Howard,jhoward@century21.com,(440) 348-1845,Century 21,"Cincinnati, OH",OH,R.E.4563644,5,8,64,B,2026-04-05
Dorothy Bennett,bennettd@realogicssothebys.com,(972) 987-4194,Realogics Sotheby's,"Houston, TX",TX,TREC4973888,13,54,100,A,2026-04-05
Stephen Lewis,lewiss@redfin.com,(602) 309-4593,Austin Home Girls,"Scottsdale, AZ",AZ,AZ8050025,20,62,85,B,2026-04-05
Larry Price,larry90@realtor.com,(717) 792-7305,Nicholas Realty,"Bethlehem, PA",PA,RS366280,5,17,73,C,2026-04-05
Brian Jones,brian.jones@berkshirehathaway.com,(478) 291-6007,Berkshire Hathaway,"Dallas, GA",GA,GA9297640,24,66,99,A,2026-04-05
Terry Edwards,terry.edwards6@century21.com,(928) 749-9769,The Agency,"Glendale, AZ",AZ,AZ4571769,3,19,73,C,2026-04-05
Margaret Diaz,margaret67@re/max.com,(516) 457-5762,RE/MAX,"Long Island, NY",NY,104913116566,14,49,99,A,2026-04-05
Terry Wood,terry_wood@sothebysrealty.com,(216) 746-3783,Briggs Freeman,"Dallas, OH",OH,R.E.6692056,14,46,85,A,2026-04-05
Patricia Sanders,patricia_sanders@yahoo.com,(512) 321-7447,RE/MAX,"San Antonio, TX",TX,TREC5137615,9,23,87,A,2026-04-05
Jason Stewart,jstewart@berkshirehathaway.com,(610) 924-9441,Orlando Dream Homes,"Bethlehem, PA",PA,RS348352,20,23,89,C,2026-04-05
Anthony Richardson,anthony_richardson@realtyonegroup.com,(330) 284-5736,Realty ONE Group,"Youngstown, OH",OH,R.E.5066123,4,9,71,C,2026-04-05
Grace Miller,gracem@century21.com,(229) 209-8454,William Pitt,"Houston, GA",GA,GA5992523,12,82,88,A,2026-04-05
Nancy Baker,nbaker@cbrealty.com,(520) 424-3189,The Collective,"Austin, AZ",AZ,AZ1974209,10,47,93,A,2026-04-05
Stephen Williams,swilliams@kellerwilliams.com,(718) 677-1122,Keller Williams,"Waco, NY",NY,104919647497,23,70,100,C,2026-04-05
Samantha Parker,samanthap@windermere.com,(513) 861-7524,Windermere,"Dallas, OH",OH,R.E.9782371,22,54,97,A,2026-04-05
Jerry Anderson,jerry.anderson@hotmail.com,(267) 648-8522,Coldwell Banker,"Erie, PA",PA,RS335831,13,72,98,B,2026-04-05
Brian Ruiz,ruizb@sothebysinternationalrealty.com,(941) 930-7579,Sotheby's International Realty,"Cape Coral, FL",FL,BK2070163,14,37,90,B,2026-04-05
Jennifer Martin,jennifer.martin@century21.com,(216) 236-1881,Windermere,"Columbus, OH",OH,R.E.1699681,23,64,85,B,2026-04-05
Christina Sanders,christina.sanders@icloud.com,(773) 417-9230,Windermere,"El Paso, IL",IL,4754740442,11,56,94,B,2026-04-05
Emma Hughes,hughese@expworldholdings.com,(814) 894-4785,The Agency,"Austin, PA",PA,RS308314,8,36,90,A,2026-04-05
Tyler Kim,tyler33@daveperrymiller.com,(949) 833-4339,Dave Perry Miller,"Fresno, CA",CA,BRE6827028,0,15,73,B,2026-04-05
Maria Jimenez,mjimenez@betterhomesgardens.com,(212) 457-4569,Better Homes & Gardens,"Odessa, NY",NY,104914083927,8,14,78,C,2026-04-05
Rebecca Myers,rebeccam@elliman.com,(469) 933-2098,The Collective,"Houston, TX",TX,TREC9953361,15,32,91,A,2026-04-05
Nancy Hughes,nancy.hughes4@realtor.com,(914) 835-2355,Realogics Sotheby's,"Midland, NY",NY,104912056903,8,10,77,C,2026-04-05
Jennifer Garcia,jgarcia@cbrealty.com,(215) 917-6850,Halstead,"Dallas, PA",PA,RS310260,17,75,98,A,2026-04-05
David Turner,dturner@berkshirehathaway.com,(915) 443-1829,Houston Luxury Homes,"Odessa, TX",TX,TREC9437208,6,18,83,C,2026-04-05
Kimberly Peterson,kimberly.peterson4@gmail.com,(828) 545-2394,Realty ONE Group,"Dallas, NC",NC,NC5501141,0,1,60,A,2026-04-05
Barbara Robinson,barbara.robinson@realtor.com,(252) 999-9304,ERA Real Estate,"Fayetteville, NC",NC,NC1584077,23,30,98,C,2026-04-05
Shirley Roberts,shirley.roberts5@remax.net,(832) 709-6904,ERA Real Estate,"Midland, TX",TX,TREC2000984,16,66,85,C,2026-04-05
Matthew Baker,matthew.baker7@nicholasrealty.com,(347) 407-1380,Nicholas Realty,"Long Island, NY",NY,104911444099,21,51,98,A,2026-04-05
Bradley Ramirez,bradleyr@century21.com,(858) 324-1096,Briggs Freeman,"Oakland, CA",CA,BRE2924445,12,40,88,B,2026-04-05
Margaret Reed,margaret_reed@compass.com,(336) 717-1304,Realty ONE Group,"Austin, NC",NC,NC4909179,21,61,86,A,2026-04-05
Alexander Collins,alexanderc@cbrealty.com,(570) 884-9125,Sotheby's International,"San Antonio, PA",PA,RS369919,6,21,78,A,2026-04-05
Thomas Cruz,thomas27@kellerwilliams.com,(412) 304-8457,Keller Williams,"Fort Worth, PA",PA,RS345329,6,39,94,A,2026-04-05
Kathryn Bennett,kathryn_bennett@compass.com,(904) 272-7205,Compass,"West Palm Beach, FL",FL,BK4948880,25,41,85,B,2026-04-05
Karen Hall,karen.hall3@sothebysrealty.com,(336) 370-9722,Realogics Sotheby's,"Austin, NC",NC,NC8565754,11,58,85,A,2026-04-05
Jason Gomez,jason.gomez4@compass.com,(916) 555-2616,Tampa Bay Elite,"Stockton, CA",CA,BRE4229815,19,49,92,B,2026-04-05
Anna Long,anna.long8@icloud.com,(470) 863-1787,Hill Country Real Estate,"Fort Worth, GA",GA,GA3403811,10,53,93,A,2026-04-05
Nancy Perry,nperry@hotmail.com,(919) 633-2926,Dave Perry Miller,"Dallas, NC",NC,NC3940365,6,9,73,A,2026-04-05
Raymond Chavez,rchavez@elliman.com,(928) 869-4777,Berkshire Hathaway HomeServices,"Scottsdale, AZ",AZ,AZ5454171,25,25,92,B,2026-04-05
Richard Davis,richard.davis@julieharrisrealty.com,(229) 916-5496,Julie Harris Realty,"Macon, GA",GA,GA4079155,9,35,92,C,2026-04-05
David James,jamesd@kw.com,(914) 561-7890,Ebby Halliday,"Waco, NY",NY,104911610808,20,36,93,C,2026-04-05
Peter Price,pprice@realtyonegroup.com,(520) 424-5895,Realty ONE Group,"San Antonio, AZ",AZ,AZ8267936,8,15,81,A,2026-04-05
Anthony Sanchez,anthony_sanchez@icloud.com,(415) 402-4445,Berkshire Hathaway HomeServices,"Stockton, CA",CA,BRE3848425,1,12,60,B,2026-04-05
Joe Kim,kimj@redfin.com,(559) 685-2192,Better Homes & Gardens,"Sacramento, CA",CA,BRE6055276,15,35,87,A,2026-04-05
Debra Russell,debra46@berkshirehathaway.com,(520) 927-6352,The Collective,"Surprise, AZ",AZ,AZ8675804,21,27,95,C,2026-04-05
Ashley Murphy,ashley35@jpassociates.com,(773) 671-8640,JP & Associates,"Lubbock, IL",IL,4751469065,13,70,98,B,2026-04-05
Ryan Mitchell,ryan_mitchell@icloud.com,(623) 673-9977,Realty ONE Group,"Glendale, AZ",AZ,AZ2828044,8,14,73,C,2026-04-05
Melissa Thomas,thomasm@remax.net,(707) 599-5684,Brown Harris Stevens,"Ventura, CA",CA,BRE3566617,7,14,75,C,2026-04-05
Helen Edwards,helen70@compass.com,(229) 676-4371,RE/MAX,"Valdosta, GA",GA,GA1472584,14,54,96,C,2026-04-05
Helen Myers,helenm@realty.com,(478) 330-9819,Dave Perry Miller,"Columbus, GA",GA,GA8593482,4,17,74,C,2026-04-05
Sandra Davis,sandra2@realogicssothebys.com,(737) 593-5049,Realogics Sotheby's,"Corpus Christi, TX",TX,TREC6924535,7,12,84,B,2026-04-05
Karen Turner,karen.turner@sunshinestateproperties.com,(980) 920-3222,Sunshine State Properties,"Fayetteville, NC",NC,NC9572646,10,33,85,C,2026-04-05
Rebecca Robinson,rebeccar@berkshirehathawayhomeservices.com,(570) 664-1852,Berkshire Hathaway HomeServices,"Philadelphia, PA",PA,RS381456,4,18,80,B,2026-04-05
Susan Perez,susanp@berkshirehathaway.com,(330) 900-3830,Ebby Halliday,"Austin, OH",OH,R.E.6807922,10,66,87,A,2026-04-05
Juan Ramirez,juan.ramirez@windermere.com,(412) 407-2818,Windermere,"Pittsburgh, PA",PA,RS365897,18,26,80,B,2026-04-05
Shirley Castillo,shirley.castillo@exprealty.com,(210) 770-2091,eXp Realty,"Corpus Christi, TX",TX,TREC5773262,4,18,72,B,2026-04-05
Pamela Davis,pamela.davis2@berkshirehathaway.com,(770) 301-4421,William Pitt,"Fort Worth, GA",GA,GA9986104,24,28,86,A,2026-04-05
Juan Anderson,juan_anderson@redfin.com,(618) 915-4635,eXp Realty,"Chicago, IL",IL,4751987059,22,71,89,A,2026-04-05
Benjamin Watson,benjamin46@outlook.com,(312) 705-7508,Sunshine State Properties,"Oak Park, IL",IL,4756916818,19,21,84,A,2026-04-05
Cynthia Evans,evansc@berkshirehathaway.com,(513) 785-8847,The Agency,"Columbus, OH",OH,R.E.2989685,24,41,97,B,2026-04-05
Patrick Foster,patrick.foster9@sothebysrealty.com,(412) 555-6263,Dave Perry Miller,"Philadelphia, PA",PA,RS358386,2,3,67,B,2026-04-05
Andrew Stewart,andrews@realtor.com,(252) 625-2985,Long & Foster,"Durham, NC",NC,NC1956334,1,13,66,B,2026-04-05
Sharon Ruiz,sruiz@austinhomegirls.com,(828) 359-7489,Austin Home Girls,"Greensboro, NC",NC,NC7692104,9,33,86,B,2026-04-05
Carolyn Davis,cdavis@outlook.com,(949) 278-1125,Briggs Freeman,"Fresno, CA",CA,BRE3806014,0,3,62,B,2026-04-05
Nancy Patel,npatel@century21.com,(216) 937-4842,Halstead,"Springfield, OH",OH,R.E.4441749,15,36,88,C,2026-04-05
Peter Hall,peter86@redfin.com,(915) 506-2475,Sotheby's International Realty,"Dallas, TX",TX,TREC8275307,18,54,94,A,2026-04-05
Melissa Perry,mperry@douglaselliman.com,(914) 308-4534,Douglas Elliman,"Queens, NY",NY,104911413222,7,24,83,A,2026-04-05
Donald Jimenez,jimenezd@corcoran.com,(631) 539-7760,Corcoran,"Queens, NY",NY,104914475817,15,48,90,A,2026-04-05
Anna Wood,anna.wood5@redfin.com,(480) 532-5273,Compass,"Phoenix, AZ",AZ,AZ2066062,21,23,91,B,2026-04-05
Larry Ramirez,ramirezl@compass.com,(570) 696-5763,Miami Beach Realty,"Erie, PA",PA,RS323228,18,42,93,B,2026-04-05
Jack Campbell,jack84@redfin.com,(740) 350-7628,Coldwell Banker,"San Antonio, OH",OH,R.E.1773273,6,20,89,A,2026-04-05
Sharon Baker,sharon49@century21.com,(484) 877-2437,Ebby Halliday,"Fort Worth, PA",PA,RS315081,24,33,90,A,2026-04-05
Juan Green,juan.green5@sothebysrealty.com,(910) 975-3231,Windermere,"Durham, NC",NC,NC4157198,6,37,90,B,2026-04-05
Nancy Jackson,nancy_jackson@berkshirehathawayhomeservices.com,(626) 840-4988,Berkshire Hathaway HomeServices,"Oakland, CA",CA,BRE8905522,6,39,82,B,2026-04-05
Steven Ward,steven_ward@outlook.com,(570) 669-5615,Better Homes & Gardens,"Bethlehem, PA",PA,RS356050,3,7,68,C,2026-04-05
Melissa Cooper,melissac@outlook.com,(520) 951-9704,ERA Real Estate,"San Antonio, AZ",AZ,AZ8533868,1,4,60,A,2026-04-05
Daniel Hernandez,daniel.hernandez9@remax.net,(480) 638-7269,Sotheby's International,"San Antonio, AZ",AZ,AZ3501315,15,21,85,A,2026-04-05
Catherine Stewart,catherine.stewart1@yahoo.com,(910) 466-4829,Sotheby's International Realty,"Fort Worth, NC",NC,NC4516949,21,24,82,A,2026-04-05
Ashley Davis,ashley31@sothebysrealty.com,(412) 231-1461,eXp Realty,"Lancaster, PA",PA,RS395598,0,9,70,C,2026-04-05
Brenda Russell,brenda.russell5@outlook.com,(713) 972-9651,Dave Perry Miller,"McAllen, TX",TX,TREC8644043,14,70,99,B,2026-04-05
Helen Brooks,helen.brooks8@outlook.com,(630) 238-5520,Orlando Dream Homes,"Odessa, IL",IL,4751457793,18,47,99,C,2026-04-05
Christine Rogers,christine95@century21.com,(419) 841-5780,Douglas Elliman,"Dallas, OH",OH,R.E.6666498,9,26,79,A,2026-04-05
Raymond Baker,raymond.baker@expworldholdings.com,(646) 426-1217,Rogers Healy,"Amarillo, NY",NY,104912550340,8,21,81,B,2026-04-05
Helen Long,helen70@yahoo.com,(847) 851-7488,Rogers Healy,"Naperville, IL",IL,4753830565,19,42,97,A,2026-04-05
Mary Harris,mary8@remax.net,(706) 381-5092,William Pitt,"Houston, GA",GA,GA6573669,0,1,61,A,2026-04-05
Olivia Jimenez,oliviaj@yahoo.com,(480) 994-7797,Miami Beach Realty,"Austin, AZ",AZ,AZ1634229,8,10,83,A,2026-04-05
Jerry Green,jerry_green@elliman.com,(910) 363-1951,ERA Real Estate,"Houston, NC",NC,NC5178094,22,65,93,A,2026-04-05
Donna Ward,donna34@century21.com,(626) 785-4691,Century 21,"Los Angeles, CA",CA,BRE2726700,12,75,99,A,2026-04-05
Nicholas Kelly,kellyn@longfoster.com,(312) 754-9129,Long & Foster,"Amarillo, IL",IL,4756212794,24,62,99,B,2026-04-05
Pamela Morales,pamela.morales@century21.com,(561) 899-2387,ERA Real Estate,"Tampa, FL",FL,BK4428715,8,43,88,A,2026-04-05
Walter Torres,walter12@outlook.com,(602) 360-9619,Sotheby's International,"Tempe, AZ",AZ,AZ8657126,4,16,76,B,2026-04-05
Kathleen Long,kathleen.long8@berkshirehathaway.com,(530) 305-3140,Brown Harris Stevens,"Santa Rosa, CA",CA,BRE7874309,7,39,87,C,2026-04-05
Katherine Lee,klee@elliman.com,(513) 300-6554,JP & Associates,"Fort Worth, OH",OH,R.E.9954307,23,51,89,A,2026-04-05
Terry Scott,terry17@expworldholdings.com,(330) 594-5909,Dave Perry Miller,"San Antonio, OH",OH,R.E.6012617,25,29,95,A,2026-04-05
Bryan Ramos,bryan_ramos@realogicssothebys.com,(949) 346-1257,Realogics Sotheby's,"Modesto, CA",CA,BRE8147653,18,30,100,C,2026-04-05
Elizabeth Ruiz,elizabeth.ruiz7@gmail.com,(215) 503-8638,Compass,"Houston, PA",PA,RS374413,22,76,89,A,2026-04-05
Benjamin Reed,breed@century21.com,(610) 443-5014,Hill Country Real Estate,"Scranton, PA",PA,RS301287,9,31,81,C,2026-04-05
Virginia Kim,virginia_kim@remax.net,(678) 588-4153,Halstead,"Columbus, GA",GA,GA4733790,7,15,88,C,2026-04-05
Brenda Lewis,brenda.lewis9@cbrealty.com,(928) 538-7309,Rogers Healy,"Tempe, AZ",AZ,AZ5069432,10,50,96,B,2026-04-05
Patrick Morales,patrick_morales@sothebysrealty.com,(330) 301-1469,Redfin,"Middletown, OH",OH,R.E.3353968,23,50,92,C,2026-04-05
Margaret Torres,margaret.torres@thecollective.com,(704) 363-3659,The Collective,"Greensboro, NC",NC,NC4400277,1,11,60,B,2026-04-05
Anna Turner,aturner@halstead.com,(770) 899-4066,Halstead,"Savannah, GA",GA,GA8707459,17,29,91,B,2026-04-05
Debra Carter,debra_carter@compass.com,(847) 587-7574,RE/MAX,"Evanston, IL",IL,4759262173,22,50,97,A,2026-04-05
Christine Ramirez,christiner@kw.com,(706) 456-4115,John L. Scott,"Marietta, GA",GA,GA4645259,10,57,89,B,2026-04-05
Rachel Cook,rachel1@expworldholdings.com,(626) 256-3928,Orlando Dream Homes,"Modesto, CA",CA,BRE4861635,5,6,73,C,2026-04-05
Juan Campbell,juanc@expworldholdings.com,(949) 507-2707,William Pitt,"Riverside, CA",CA,BRE6409155,24,27,80,B,2026-04-05
Paul Martinez,paul_martinez@longfoster.com,(347) 641-2299,Long & Foster,"El Paso, NY",NY,104912377283,24,52,99,B,2026-04-05
Tyler Stewart,tylers@realtor.com,(773) 603-6423,Berkshire Hathaway,"Evanston, IL",IL,4758030626,17,65,87,A,2026-04-05
Michelle Morris,mmorris@remax.net,(570) 894-7728,Better Homes & Gardens,"Philadelphia, PA",PA,RS346377,3,19,74,B,2026-04-05
Barbara Chavez,barbara_chavez@expworldholdings.com,(415) 422-9441,Miami Beach Realty,"Santa Cruz, CA",CA,BRE9669206,13,75,99,C,2026-04-05
Michael Jenkins,michael.jenkins4@houstonluxuryhomes.com,(619) 448-8805,Houston Luxury Homes,"San Jose, CA",CA,BRE4030908,17,51,89,A,2026-04-05
Andrew Gutierrez,andrew.gutierrez9@elliman.com,(239) 329-7524,Long & Foster,"Sarasota, FL",FL,BK7156218,8,27,83,B,2026-04-05
Melissa Evans,evansm@gmail.com,(912) 212-9775,Halstead,"San Antonio, GA",GA,GA8863036,24,56,86,A,2026-04-05
Dylan Taylor,dtaylor@hotmail.com,(813) 754-4091,Corcoran,"Fort Lauderdale, FL",FL,BK5945357,5,15,83,A,2026-04-05
Jessica Diaz,jessica_diaz@realtyonegroup.com,(513) 582-3111,Realty ONE Group,"Dayton, OH",OH,R.E.4779621,8,19,80,B,2026-04-05
Barbara Jackson,barbara.jackson9@redfin.com,(813) 337-3558,Orlando Dream Homes,"Daytona Beach, FL",FL,BK9856704,16,76,86,C,2026-04-05
Judy Scott,judys@sunshinestateproperties.com,(814) 812-9212,Sunshine State Properties,"Fort Worth, PA",PA,RS306758,15,73,99,A,2026-04-05
Kenneth Rogers,kenneth.rogers3@yahoo.com,(717) 592-8912,JP & Associates,"Erie, PA",PA,RS311209,6,19,81,B,2026-04-05
Jack Williams,jack_williams@gmail.com,(484) 911-8047,Tampa Bay Elite,"Pittsburgh, PA",PA,RS396779,9,10,71,B,2026-04-05
Peter Gonzalez,peterg@gmail.com,(267) 246-7520,Miami Beach Realty,"Scranton, PA",PA,RS326103,25,25,85,C,2026-04-05
Frank Walker,frankw@berkshirehathawayhomeservices.com,(919) 941-8096,Berkshire Hathaway HomeServices,"Gastonia, NC",NC,NC2219218,21,29,80,C,2026-04-05
Mary Gomez,mary23@sothebysinternationalrealty.com,(404) 475-6891,Sotheby's International Realty,"Fort Worth, GA",GA,GA5136544,1,9,70,A,2026-04-05
Linda Campbell,linda_campbell@hotmail.com,(928) 361-1213,Compass,"Tempe, AZ",AZ,AZ1249257,0,4,60,B,2026-04-05
Frank Edwards,frank63@realtor.com,(267) 924-5384,Corcoran,"San Antonio, PA",PA,RS377500,2,4,62,A,2026-04-05
Eric Reyes,eric.reyes@redfin.com,(847) 328-2820,Sunshine State Properties,"Evanston, IL",IL,4751917960,24,78,98,A,2026-04-05
Helen Smith,helen.smith4@compass.com,(484) 979-9501,Realogics Sotheby's,"Austin, PA",PA,RS379015,4,13,77,A,2026-04-05
John Bennett,john11@berkshirehathaway.com,(239) 321-1317,Realty ONE Group,"Fort Lauderdale, FL",FL,BK2358235,16,40,87,A,2026-04-05
Charles Ramos,charles.ramos7@berkshirehathaway.com,(610) 402-3082,ERA Real Estate,"Dallas, PA",PA,RS324529,21,34,91,A,2026-04-05
Helen Brown,helen_brown@halstead.com,(737) 698-4524,Halstead,"Dallas, TX",TX,TREC3172616,14,69,86,A,2026-04-05
Kimberly Lee,kimberlyl@icloud.com,(847) 742-5503,Brown Harris Stevens,"El Paso, IL",IL,4759953708,10,31,86,B,2026-04-05
Carolyn Price,carolynp@century21.com,(229) 685-8193,Compass,"Houston, GA",GA,GA3966704,24,23,87,A,2026-04-05
Jerry Howard,jerry_howard@century21.com,(561) 496-9540,Sotheby's International,"Jacksonville, FL",FL,BK5276623,15,58,87,A,2026-04-05
Edward Jackson,edward47@gmail.com,(347) 910-6835,Sotheby's International Realty,"McAllen, NY",NY,104913380377,2,9,61,B,2026-04-05
Deborah Garcia,deborahg@realty.com,(513) 347-3393,Century 21,"Cleveland, OH",OH,R.E.4372297,14,60,93,B,2026-04-05
Linda Nguyen,lnguyen@realtyonegroup.com,(404) 471-4537,Realty ONE Group,"Valdosta, GA",GA,GA5437322,3,7,66,C,2026-04-05
Peter Young,peter14@berkshirehathaway.com,(520) 784-9337,Sotheby's International,"Tempe, AZ",AZ,AZ1331079,17,60,85,B,2026-04-05
Donna Powell,donna_powell@yahoo.com,(404) 745-3945,Miami Beach Realty,"Marietta, GA",GA,GA6649672,2,1,68,B,2026-04-05
Debra Martinez,martinezd@thecollective.com,(484) 720-2560,The Collective,"York, PA",PA,RS312527,14,74,98,C,2026-04-05
Raymond Nelson,raymond.nelson@coldwellbanker.com,(630) 843-3810,Coldwell Banker,"Tyler, IL",IL,4754916563,3,14,78,C,2026-04-05
Christine Phillips,christine.phillips9@compass.com,(912) 385-3766,Better Homes & Gardens,"Marietta, GA",GA,GA2177569,14,23,83,B,2026-04-05
Michelle Baker,mbaker@berkshirehathaway.com,(770) 245-9256,Realty ONE Group,"Marietta, GA",GA,GA7039873,7,34,87,B,2026-04-05
Thomas Bailey,thomas28@compass.com,(412) 483-1960,Compass,"Bethlehem, PA",PA,RS336101,16,49,86,C,2026-04-05
Tyler Myers,tyler.myers5@compass.com,(312) 485-7894,Compass,"Evanston, IL",IL,4753878687,18,43,94,A,2026-04-05
Christine Chavez,christine_chavez@elliman.com,(770) 294-5626,Nicholas Realty,"Albany, GA",GA,GA2162035,3,9,72,C,2026-04-05
Linda Reyes,linda.reyes4@rogershealy.com,(727) 482-3949,Rogers Healy,"Miami, FL",FL,BK2092017,8,35,94,A,2026-04-05
Helen Edwards,helen.edwards@outlook.com,(513) 433-1212,Allie Beth Allman,"Austin, OH",OH,R.E.6804571,23,50,92,A,2026-04-05
Donald Evans,donald78@cbrealty.com,(847) 703-2922,Sotheby's International Realty,"Lubbock, IL",IL,4757275387,6,17,77,B,2026-04-05
Cynthia Foster,fosterc@expworldholdings.com,(470) 278-2397,Keller Williams,"Dallas, GA",GA,GA8300242,17,29,83,A,2026-04-05
Robert Torres,torresr@outlook.com,(727) 455-1048,Sunshine State Properties,"Tampa, FL",FL,BK9719018,13,21,81,A,2026-04-05
Joshua Reed,reedj@houstonluxuryhomes.com,(631) 919-7164,Houston Luxury Homes,"Corpus Christi, NY",NY,104917001809,4,9,68,B,2026-04-05
Rachel Ortiz,rachel.ortiz4@berkshirehathaway.com,(470) 290-8361,Realogics Sotheby's,"Marietta, GA",GA,GA3108439,0,8,64,B,2026-04-05
Henry Jackson,henryj@sothebysrealty.com,(980) 408-5249,Sunshine State Properties,"Raleigh, NC",NC,NC5068957,15,60,89,B,2026-04-05
Donald Parker,donald.parker1@realtyonegroup.com,(440) 705-3331,Realty ONE Group,"Middletown, OH",OH,R.E.1188751,0,6,62,C,2026-04-05
Joe Carter,joe.carter@outlook.com,(727) 315-8586,Long & Foster,"Fort Lauderdale, FL",FL,BK9716007,14,41,92,A,2026-04-05
Kimberly Morris,kimberly_morris@realtor.com,(229) 858-1755,Realogics Sotheby's,"Augusta, GA",GA,GA8426211,18,44,91,B,2026-04-05
Paul Kelly,pkelly@hotmail.com,(717) 622-4734,Hill Country Real Estate,"San Antonio, PA",PA,RS360853,23,66,97,A,2026-04-05
John Adams,john29@hotmail.com,(623) 946-6637,Allie Beth Allman,"Tempe, AZ",AZ,AZ5124506,5,19,81,B,2026-04-05
Maria Campbell,maria64@erarealestate.com,(623) 558-3624,ERA Real Estate,"Glendale, AZ",AZ,AZ9565621,22,77,97,C,2026-04-05
Jack Hughes,jack.hughes@gmail.com,(570) 747-6374,Sotheby's International Realty,"Dallas, PA",PA,RS384440,21,53,92,A,2026-04-05
Paul Rivera,paul70@elliman.com,(828) 716-6689,Ebby Halliday,"Greensboro, NC",NC,NC9171914,13,64,94,B,2026-04-05
Susan Gonzalez,gonzalezs@icloud.com,(630) 746-7561,Nicholas Realty,"Evanston, IL",IL,4753324865,25,82,86,A,2026-04-05
Gary Jones,gjones@outlook.com,(737) 693-1591,Dave Perry Miller,"Lubbock, TX",TX,TREC7173287,14,54,90,B,2026-04-05
William Hall,williamh@compass.com,(215) 707-4565,Windermere,"Scranton, PA",PA,RS397623,18,34,95,C,2026-04-05
Lisa Moore,lisa.moore@hotmail.com,(910) 728-6574,Orlando Dream Homes,"Durham, NC",NC,NC7269445,4,14,63,B,2026-04-05
Pamela Morales,pmorales@redfin.com,(984) 962-8093,Redfin,"Fort Worth, NC",NC,NC5743325,14,73,90,A,2026-04-05
Betty Wilson,betty.wilson@realty.com,(559) 319-6421,Rogers Healy,"Stockton, CA",CA,BRE1192914,3,16,77,B,2026-04-05
Karen Rivera,karen.rivera4@compass.com,(713) 470-8672,Sotheby's International,"San Antonio, TX",TX,TREC9505741,23,78,100,A,2026-04-05
Linda Hill,lhill@berkshirehathaway.com,(740) 439-2100,Allie Beth Allman,"Canton, OH",OH,R.E.8370908,10,79,93,C,2026-04-05
James Perez,perezj@sothebysrealty.com,(919) 346-8679,Allie Beth Allman,"Wilmington, NC",NC,NC4097057,20,29,82,C,2026-04-05
Sarah Rogers,rogerss@realtor.com,(561) 438-5081,Houston Luxury Homes,"St. Petersburg, FL",FL,BK3362654,5,17,69,B,2026-04-05
Olivia James,olivia.james@nicholasrealty.com,(914) 854-3288,Nicholas Realty,"Waco, NY",NY,104915014254,3,8,64,C,2026-04-05
Carolyn Jackson,carolyn.jackson@berkshirehathaway.com,(706) 405-3956,Coldwell Banker,"Atlanta, GA",GA,GA1788183,25,48,85,B,2026-04-05
Anthony Rivera,anthony.rivera8@gmail.com,(915) 520-3601,Keller Williams,"San Antonio, TX",TX,TREC9297437,21,69,100,A,2026-04-05
Charles Miller,charles.miller8@briggsfreeman.com,(630) 265-5156,Briggs Freeman,"Lubbock, IL",IL,4755589536,3,13,69,B,2026-04-05
Bradley Kim,bradleyk@remax.net,(407) 373-4181,Century 21,"St. Petersburg, FL",FL,BK8001177,7,44,88,B,2026-04-05
Jason Clark,jason.clark@kw.com,(419) 336-4552,Realty ONE Group,"Toledo, OH",OH,R.E.7316521,1,5,68,B,2026-04-05
Brian Sanders,sandersb@berkshirehathaway.com,(714) 263-3552,Windermere,"San Francisco, CA",CA,BRE8921355,24,23,94,A,2026-04-05
William Kelly,william.kelly1@sunshinestateproperties.com,(872) 848-5423,Sunshine State Properties,"Lubbock, IL",IL,4757560124,3,14,78,B,2026-04-05
Mark Edwards,edwardsm@redfin.com,(919) 932-7302,Long & Foster,"Gastonia, NC",NC,NC4387499,6,28,89,C,2026-04-05
Jessica Bailey,jessica_bailey@sothebysrealty.com,(984) 314-4171,Nicholas Realty,"Fayetteville, NC",NC,NC7574233,20,72,95,C,2026-04-05
Jacob Flores,floresj@elliman.com,(912) 846-9784,Austin Home Girls,"Valdosta, GA",GA,GA7630853,24,74,92,C,2026-04-05
